1;Dr. Smith;555-123-4567;smith@example.com;Male;123 Main St;40;Nutrition
2;Dr. Johnson;666-234-5678;johnson@example.com;Female;456 Oak St;35;Weight Management
3;Dr. Brown;777-345-6789;brown@example.com;Male;789 Elm St;45;Sports Nutrition
4;Dr. Lee;888-456-7890;lee@example.com;Female;101 Pine St;38;Pediatric Nutrition
5;Dr. White;999-567-8901;white@example.com;Male;202 Cedar St;42;Clinical Nutrition
6;Dr. Davis;111-678-9012;davis@example.com;Female;303 Birch St;37;Gerontological Nutrition
7;Dr. Wilson;222-789-0123;wilson@example.com;Male;404 Maple St;50;Oncology Nutrition
8;Dr. Harris;333-890-1234;harris@example.com;Female;505 Pine St;48;Renal Nutrition
9;Dr. Miller;444-901-2345;miller@example.com;Male;606 Oak St;39;Community Nutrition
10;Dr. Taylor;555-012-3456;taylor@example.com;Female;707 Elm St;44;Eating Disorders
